change_type,artifact_group,relative_path,baseline_sha256,current_sha256,baseline_status,current_status,baseline_detected_role,current_detected_role,baseline_file_type,current_file_type,field_changes,notes
unchanged,p237_decisions,report/p237a_paper_strategy_decisions.csv,8dcd05ad6a8e75612c74f5695e5287bd1cfa0b7bc0e9691587c0d7001790c2f7,8dcd05ad6a8e75612c74f5695e5287bd1cfa0b7bc0e9691587c0d7001790c2f7,WARN,WARN,status,status,csv,csv,,unchanged
unchanged,p237_simulator_summary,report/p237a_paper_strategy_simulator_summary.json,06a804d8a63103f9f9f8ff450aa94640d82f634a0919602964959e84443d6d65,06a804d8a63103f9f9f8ff450aa94640d82f634a0919602964959e84443d6d65,PASS,PASS,status,status,json,json,,unchanged
unchanged,p238_learning_segments,report/p238a_paper_strategy_learning_segments.csv,e9914bb6bb7ee73cb2e64590ff8d58e0be57ce822745bb0f78ed638a71f3750f,e9914bb6bb7ee73cb2e64590ff8d58e0be57ce822745bb0f78ed638a71f3750f,PASS,PASS,status,status,csv,csv,,unchanged
unchanged,p238_learning_summary,report/p238a_paper_strategy_learning_summary.json,9df7f4446f8182fcdcd69a6f806a2b47bff704e91c88c02125ac41acace6e9d5,9df7f4446f8182fcdcd69a6f806a2b47bff704e91c88c02125ac41acace6e9d5,PASS,PASS,status,status,json,json,,unchanged
unchanged,p239_workflow,report/p239a_paper_strategy_workflow/decisions.csv,f1762823709d0cb30eacb7567c3ffeabf76232ac766a1c90a669b7aaa1eee1e7,f1762823709d0cb30eacb7567c3ffeabf76232ac766a1c90a669b7aaa1eee1e7,PASS,PASS,status,status,csv,csv,,unchanged
unchanged,p239_workflow,report/p239a_paper_strategy_workflow/learning_segments.csv,e9914bb6bb7ee73cb2e64590ff8d58e0be57ce822745bb0f78ed638a71f3750f,e9914bb6bb7ee73cb2e64590ff8d58e0be57ce822745bb0f78ed638a71f3750f,PASS,PASS,status,status,csv,csv,,unchanged
unchanged,p239_workflow,report/p239a_paper_strategy_workflow/learning_summary.json,e67c66ee48e93fb636fbc306361ae70d5326e1db388c97453f3ce48818d3fae3,e67c66ee48e93fb636fbc306361ae70d5326e1db388c97453f3ce48818d3fae3,PASS,PASS,status,status,json,json,,unchanged
unchanged,p239_workflow,report/p239a_paper_strategy_workflow/workflow_manifest.json,4b13c0e186fdf219032253e1f576f9a56e37d9381148f36c7d4f653492caadcb,4b13c0e186fdf219032253e1f576f9a56e37d9381148f36c7d4f653492caadcb,PASS,PASS,manifest,manifest,json,json,,unchanged
unchanged,p239_workflow,report/p239a_paper_strategy_workflow/workflow_summary.json,7721cb3fc3654de2d1f3031c27a72afe0b16a243b9f40a232cc23c34d3701939,7721cb3fc3654de2d1f3031c27a72afe0b16a243b9f40a232cc23c34d3701939,PASS,PASS,status,status,json,json,,unchanged
unchanged,p240_inspector,report/p240a_paper_strategy_workflow_inspector/inspection_checks.csv,40914d0f07ec0155a730f051ef0e4930cb937bc9043ca85fc9b5621d4c57bbb4,40914d0f07ec0155a730f051ef0e4930cb937bc9043ca85fc9b5621d4c57bbb4,PASS,PASS,status,status,csv,csv,,unchanged
unchanged,p240_inspector,report/p240a_paper_strategy_workflow_inspector/inspection_summary.json,33101a798e6a0cfcadf55d3024aecb0656ea26ecc6cb7d8ec6148c68f5891076,33101a798e6a0cfcadf55d3024aecb0656ea26ecc6cb7d8ec6148c68f5891076,PASS,PASS,status,status,json,json,,unchanged
unchanged,p241_review_pack,report/p241a_paper_strategy_workflow_review_pack/review_artifacts.csv,bdec88d98abae140722f3abdeb9ea8e45b5b946e513df1927385e7678447be5b,bdec88d98abae140722f3abdeb9ea8e45b5b946e513df1927385e7678447be5b,PASS,PASS,status,status,csv,csv,,unchanged
unchanged,p241_review_pack,report/p241a_paper_strategy_workflow_review_pack/review_report.md,52096d5b91a0cc2660286507716833246689c2eee3e4bce4f879aaf37b071cf9,52096d5b91a0cc2660286507716833246689c2eee3e4bce4f879aaf37b071cf9,PASS,PASS,markdown_report,markdown_report,md,md,,unchanged
unchanged,p241_review_pack,report/p241a_paper_strategy_workflow_review_pack/review_summary.json,afe70214328fa50168d51118ace95d9f1563f3cb327018641661975826ec6574,afe70214328fa50168d51118ace95d9f1563f3cb327018641661975826ec6574,PASS,PASS,status,status,json,json,,unchanged
unchanged,p242_bundle,report/p242a_paper_strategy_workflow_bundle/bundle_manifest.json,86e906fd5f8c10b19a26d3954b8aa52f0e92541dbba7eae35ffd399b0605c713,86e906fd5f8c10b19a26d3954b8aa52f0e92541dbba7eae35ffd399b0605c713,PASS,PASS,manifest,manifest,json,json,,unchanged
unchanged,p242_bundle,report/p242a_paper_strategy_workflow_bundle/bundle_summary.json,f9c31cb5e28f667336bbb3766ed1e938e62285f2f57134ae6b80e6186021a863,f9c31cb5e28f667336bbb3766ed1e938e62285f2f57134ae6b80e6186021a863,PASS,PASS,status,status,json,json,,unchanged
unchanged,p242_bundle,report/p242a_paper_strategy_workflow_bundle/inspection/inspection_checks.csv,41f3d405059326af0974e64a4d00b5ce6a42e60d3777cf97ef89a4cd975329b1,41f3d405059326af0974e64a4d00b5ce6a42e60d3777cf97ef89a4cd975329b1,PASS,PASS,status,status,csv,csv,,unchanged
unchanged,p242_bundle,report/p242a_paper_strategy_workflow_bundle/inspection/inspection_summary.json,0514919e600c216818c9ef0ed3a57b7f51ee350c8c6929677ac5bef9e44795fc,0514919e600c216818c9ef0ed3a57b7f51ee350c8c6929677ac5bef9e44795fc,PASS,PASS,status,status,json,json,,unchanged
unchanged,p242_bundle,report/p242a_paper_strategy_workflow_bundle/review/review_artifacts.csv,0229238cfd17552a35f311338bb532a83336663493261a6025656bb445e6f4f8,0229238cfd17552a35f311338bb532a83336663493261a6025656bb445e6f4f8,PASS,PASS,status,status,csv,csv,,unchanged
unchanged,p242_bundle,report/p242a_paper_strategy_workflow_bundle/review/review_report.md,ad22ad20c9c451b813136d8a016c4635f06da3acbacfa4cca8bb90d7e9be08a6,ad22ad20c9c451b813136d8a016c4635f06da3acbacfa4cca8bb90d7e9be08a6,PASS,PASS,markdown_report,markdown_report,md,md,,unchanged
unchanged,p242_bundle,report/p242a_paper_strategy_workflow_bundle/review/review_summary.json,3c3003fb973a6d32d06877c9107023c3f89d001b2f45b2b67051f35a7860de22,3c3003fb973a6d32d06877c9107023c3f89d001b2f45b2b67051f35a7860de22,PASS,PASS,status,status,json,json,,unchanged
unchanged,p242_bundle,report/p242a_paper_strategy_workflow_bundle/workflow/decisions.csv,f1762823709d0cb30eacb7567c3ffeabf76232ac766a1c90a669b7aaa1eee1e7,f1762823709d0cb30eacb7567c3ffeabf76232ac766a1c90a669b7aaa1eee1e7,PASS,PASS,status,status,csv,csv,,unchanged
unchanged,p242_bundle,report/p242a_paper_strategy_workflow_bundle/workflow/learning_segments.csv,e9914bb6bb7ee73cb2e64590ff8d58e0be57ce822745bb0f78ed638a71f3750f,e9914bb6bb7ee73cb2e64590ff8d58e0be57ce822745bb0f78ed638a71f3750f,PASS,PASS,status,status,csv,csv,,unchanged
unchanged,p242_bundle,report/p242a_paper_strategy_workflow_bundle/workflow/learning_summary.json,0235422880d4e3b168334b85d98e258d60645addd73480d1bcc1ae451534f58b,0235422880d4e3b168334b85d98e258d60645addd73480d1bcc1ae451534f58b,PASS,PASS,status,status,json,json,,unchanged
unchanged,p242_bundle,report/p242a_paper_strategy_workflow_bundle/workflow/workflow_manifest.json,3c19c58b8123df8a4e9a9b51eb9f7bc1a3c61562faefea67b63325b955f86a10,3c19c58b8123df8a4e9a9b51eb9f7bc1a3c61562faefea67b63325b955f86a10,PASS,PASS,manifest,manifest,json,json,,unchanged
unchanged,p242_bundle,report/p242a_paper_strategy_workflow_bundle/workflow/workflow_summary.json,99a11991ec9646241af9c0a32bdcd6943fa9d165fd1bcfd6bb244d3570344ff1,99a11991ec9646241af9c0a32bdcd6943fa9d165fd1bcfd6bb244d3570344ff1,PASS,PASS,status,status,json,json,,unchanged
